
0,0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,3,1,3,0,0,,0,3,,0,1.0013333333333334
1,1,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,1292,1292,960,3,4,3,0,0,,1,3,,1,1.0013333333333334
2,2,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,3,1292,1292,1292,1292,948,3,7,3,0,0,,2,3,,2,1.0013333333333334
3,3,-1.0,-1.0,-1.0,88.0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,496,1292,936,3,10,3,0,0,,3,3,,3,0.9716666666666667
4,4,112.0,128.0,-1.0,100.0,0,171,0,171,1,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,484,1292,472,508,1211,3,22,1,0,0,,4,0,,4,0.887
5,5,64.0,92.0,84.0,64.0,0,147,0,147,1,1,0,1,1.0,1.0,0.0,12.0,0,0,0,3,657,480,460,555,948,3,27,0,0,0,,5,1,,5,0.8986666666666667
6,6,40.0,74.0,60.0,70.0,0,135,0,135,1,1,1,1,0.0,1.0,0.0,1.0,0,0,0,0,712,598,545,579,960,3,27,1,0,0,,6,1,,6,0.9186666666666666
7,7,40.0,80.0,60.0,76.0,0,123,0,123,1,1,0,1,1.0,1.0,0.0,12.0,0,0,0,1,795,704,569,634,972,3,27,1,0,0,,7,2,,7,0.0
8,8,40.0,98.0,60.0,70.0,0,87,0,87,1,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,968,834,770,730,1223,3,36,2,0,0,,8,3,,8,0.0
9,9,40.0,80.0,36.0,52.0,0,75,0,75,1,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1073,960,794,724,1211,3,38,3,0,0,,9,0,,9,0.0
10,10,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,2,38,3,0,0,,10,2,,10,1.0013333333333334
11,11,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,1292,1292,960,2,38,3,0,0,,11,3,,11,1.0013333333333334
12,12,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,3,1292,1292,1292,1292,948,2,38,3,0,0,,12,2,,12,1.0013333333333334
13,13,-1.0,-1.0,-1.0,111.0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,483,1292,1211,2,38,2,0,0,,13,1,,13,0.964
14,14,-1.0,131.0,-1.0,111.0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,574,491,1223,2,38,1,0,0,,14,1,,14,0.92
15,15,127.0,107.0,135.0,87.0,0,0,0,0,1,1,1,1,0.0,1.0,0.0,1.0,0,0,0,0,558,501,725,705,1259,2,47,1,0,0,,15,1,,15,0.848
16,16,103.0,83.0,111.0,63.0,0,0,0,0,1,1,1,1,0.0,1.0,0.0,1.0,0,0,0,0,639,513,800,717,1271,2,50,1,0,0,,16,0,,16,0.88
17,17,55.0,35.0,63.0,15.0,0,0,0,0,1,1,1,1,1.0,1.0,0.0,12.0,0,0,0,3,721,537,918,848,1008,2,56,0,0,0,,17,1,,17,0.0
18,18,55.0,35.0,39.0,15.0,0,0,0,0,1,1,1,1,0.0,1.0,0.0,1.0,0,0,0,0,784,576,1005,886,1020,2,59,1,0,0,,18,0,,18,0.0
19,19,31.0,35.0,15.0,15.0,0,0,0,0,1,1,1,1,12.0,13.0,12.0,13.0,3,0,0,0,852,666,1017,997,883,2,62,0,0,0,,19,3,,19,0.0
20,20,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,1,65,3,0,0,,20,2,,20,1.0013333333333334
21,21,-1.0,-1.0,-1.0,135.0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,495,1292,1223,1,65,2,0,0,,21,1,,21,0.956
22,22,-1.0,131.0,-1.0,111.0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,663,542,1259,1,65,1,0,0,,22,1,,22,0.92
23,23,115.0,107.0,-1.0,87.0,0,0,0,0,1,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,509,1292,713,615,1271,1,65,1,0,0,,23,1,,23,0.8973333333333333
24,24,65.0,81.0,85.0,61.0,175,175,175,175,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,523,503,729,799,1020,1,76,3,0,0,,24,0,,24,0.9026666666666666
25,25,59.0,75.0,79.0,55.0,163,163,163,163,0,0,0,0,12.0,13.0,12.0,13.0,3,0,0,0,517,497,735,843,883,1,76,0,0,0,,25,3,,25,0.9106666666666666
26,26,49.0,57.0,77.0,43.0,139,139,139,139,1,1,1,0,1.0,1.0,0.0,24.0,0,0,0,6,583,485,640,893,859,1,79,3,0,0,,26,3,,26,0.9246666666666666
27,27,13.0,51.0,41.0,31.0,115,115,115,115,1,0,1,0,1.0,1.0,0.0,24.0,0,0,0,0,676,566,559,963,728,1,79,0,0,0,,27,3,,27,0.9546666666666667
28,28,19.0,45.0,23.0,49.0,103,103,103,103,1,0,1,0,1.0,1.0,0.0,12.0,0,0,0,0,735,615,454,969,716,1,79,3,0,0,,28,3,,28,0.9546666666666667
29,29,31.0,81.0,-1.0,61.0,79,79,0,79,1,0,0,0,12.0,13.0,12.0,13.0,0,0,0,0,723,1292,387,981,598,1,79,0,0,0,,29,3,,29,0.9426666666666667
30,30,49.0,70.0,59.0,98.0,43,43,0,43,1,1,1,1,24.0,25.0,24.0,24.0,6,0,0,0,705,491,298,918,691,1,80,3,0,0,,30,3,,30,0.908
31,31,61.0,32.0,59.0,60.0,18,18,0,18,0,1,1,1,24.0,0.0,1.0,1.0,6,6,0,0,598,596,229,863,753,1,81,3,0,0,,31,3,,31,0.9293333333333333
32,32,70.0,41.0,59.0,45.0,0,0,0,0,1,1,1,1,12.0,13.0,12.0,13.0,0,0,0,0,700,689,423,785,599,1,81,3,0,0,,32,0,,32,0.9283333333333333
33,33,70.0,41.0,59.0,21.0,0,0,0,0,1,1,1,1,12.0,12.0,11.0,11.0,1,0,0,0,688,764,537,746,516,1,81,0,0,0,,33,3,,33,0.9363333333333334
34,34,70.0,41.0,59.0,21.0,0,0,0,0,1,1,1,1,12.0,12.0,11.0,11.0,1,0,0,0,580,539,501,559,480,1,81,3,0,0,,34,3,,34,0.9363333333333334
35,35,35.0,41.0,59.0,21.0,0,0,0,0,1,1,1,1,12.0,0.0,1.0,1.0,3,3,0,0,401,515,477,497,456,1,82,3,0,0,,35,2,,35,0.948
36,36,35.0,41.0,59.0,21.0,0,0,0,0,1,1,1,1,24.0,25.0,24.0,24.0,6,0,0,0,412,491,549,473,691,1,87,2,0,0,,36,1,,36,0.948
0,0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,3,1,3,0,0,,0,3,,0,1.0013333333333334
1,1,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,1292,1292,960,3,4,3,0,0,,1,3,,1,1.0013333333333334
2,2,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,3,1292,1292,1292,1292,948,3,7,3,0,0,,2,3,,2,1.0013333333333334
3,3,-1.0,-1.0,-1.0,88.0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,496,1292,936,3,10,3,0,0,,3,3,,3,0.9716666666666667
4,4,112.0,128.0,-1.0,100.0,0,171,0,171,1,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,484,1292,472,508,1211,3,22,1,0,0,,4,0,,4,0.887
5,5,64.0,92.0,84.0,64.0,0,147,0,147,1,1,0,1,1.0,1.0,0.0,12.0,0,0,0,3,657,480,460,555,948,3,27,0,0,0,,5,1,,5,0.0
6,6,40.0,74.0,60.0,70.0,0,135,0,135,1,1,1,1,0.0,1.0,0.0,1.0,0,0,0,0,712,598,545,579,960,3,27,1,0,0,,6,0,,6,0.0
7,7,16.0,56.0,36.0,52.0,0,123,0,123,1,1,0,1,1.0,1.0,0.0,24.0,0,0,0,0,795,704,569,634,834,3,30,0,0,0,,7,1,,7,0.0
8,8,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,2,30,3,0,0,,8,3,,8,1.0013333333333334
9,9,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,1292,1292,960,2,30,3,0,0,,9,0,,9,1.0013333333333334
10,10,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,24.0,0,0,0,0,1292,1292,1292,1292,834,2,30,0,0,0,,10,1,,10,1.0013333333333334
11,11,-1.0,-1.0,-1.0,39.0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,12.0,0,0,0,0,1292,1292,483,1292,716,2,30,0,0,0,,11,1,,11,0.0
12,12,-1.0,59.0,-1.0,39.0,0,0,0,0,0,1,0,1,1.0,1.0,0.0,24.0,0,0,0,0,1292,1292,574,491,728,2,30,1,0,0,,12,1,,12,0.0
13,13,19.0,59.0,-1.0,39.0,0,0,0,0,1,1,0,1,12.0,13.0,12.0,13.0,0,0,0,0,509,1292,713,615,599,2,30,0,0,0,,13,0,,13,0.0
14,14,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,1,30,3,0,0,,14,3,,14,1.0013333333333334
15,15,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,1292,1292,960,1,30,3,0,0,,15,3,,15,1.0013333333333334
16,16,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,3,1292,1292,1292,1292,948,1,30,3,0,0,,16,2,,16,1.0013333333333334
17,17,-1.0,-1.0,-1.0,111.0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,483,1292,1211,1,30,2,0,0,,17,1,,17,0.964
18,18,-1.0,131.0,-1.0,111.0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,574,491,1223,1,33,1,0,0,,18,1,,18,0.92
19,19,127.0,107.0,135.0,87.0,0,0,0,0,1,1,1,1,0.0,1.0,0.0,1.0,0,0,0,0,558,501,725,705,1259,1,42,1,0,0,,19,0,,19,0.848
20,20,55.0,35.0,63.0,15.0,0,0,0,0,1,1,1,1,1.0,1.0,0.0,12.0,0,0,0,3,721,664,918,848,984,1,51,0,0,0,,20,1,,20,0.944
