
3,3,43.0,24.020824298928627,45.79301256742124,79.20227269466452,0,0,0,0,1,0,1,0,0.0,1.0,0.0,1.0,0,0,0,0,560,575,626,752,1020,2,40,2,0,0,,3,3,,3,1.1334848467798466
3,3,33.24154027718932,25.0,29.546573405388315,62.42595614005443,0,0,0,0,1,0,1,1,1.0,1.0,0.0,12.0,0,0,0,3,642,664,595,677,1008,2,43,3,0,0,,3,2,,3,0.7076465050390074
3,3,33.24154027718932,60.207972893961475,45.79301256742124,61.84658438426491,0,0,0,0,1,1,1,1,0.0,1.0,0.0,1.0,0,0,0,0,903,800,713,616,1271,2,49,2,0,0,,3,1,,3,0.7028393136273436
6,6,74.0,63.90618123468183,50.0,24.08318915758459,0,126,126,126,0,0,0,0,24.0,25.0,24.0,24.0,6,0,0,0,526,730,669,547,691,2,64,1,0,0,,6,2,,6,0.7104109702501178
6,6,89.55445270895244,73.43023900274328,57.271284253105414,31.240998703626616,0,114,114,114,0,0,0,0,12.0,13.0,12.0,13.0,3,0,0,0,538,736,633,520,810,2,67,2,0,0,,6,2,,6,0.7203259022928731
6,6,102.07840124139877,84.87638069569178,65.39113089708727,44.94441010848846,0,102,102,102,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,419,670,578,526,936,2,70,2,0,0,,6,3,,6,1.1497817294790957
6,6,115.25623627379127,90.0,66.48308055437865,72.02777242147643,171,171,171,171,1,1,1,0,0.0,1.0,0.0,1.0,0,0,0,0,305,738,466,522,1211,2,81,1,0,0,,6,1,,6,0.5052608847988683
7,7,103.22790320451152,80.49844718999243,55.569775957799216,74.72616676907762,159,159,159,159,1,0,1,0,0.0,1.0,0.0,1.0,0,0,0,0,399,732,460,516,1223,2,81,1,0,0,,7,1,,7,0.513546258672064
8,8,36.05551275463989,36.05551275463989,36.05551275463989,36.05551275463989,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,3,1,3,0,0,,8,2,,8,0.6941272387650067
12,12,36.05551275463989,36.05551275463989,36.05551275463989,36.05551275463989,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,2,28,3,0,0,,12,2,,12,0.6856504679571842
12,12,61.61168720299745,61.61168720299745,61.61168720299745,73.54590403278758,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,495,1292,1223,2,28,2,0,0,,12,3,,12,0.6832797508876338
12,12,65.39113089708727,65.39113089708727,65.39113089708727,73.54590403278758,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,483,1292,1211,2,31,3,0,0,,12,3,,12,0.6814161517267634
13,13,67.17886572427373,61.84658438426491,48.507731342539614,44.64302857109943,163,163,0,163,0,0,1,0,1.0,1.0,0.0,12.0,0,0,0,3,515,542,558,364,948,2,46,1,0,0,,13,1,,13,0.6801913277164173
14,14,56.08029957123981,60.67124524847005,35.0,49.0,151,151,0,151,1,0,1,0,0.0,1.0,0.0,1.0,0,0,0,0,559,615,453,370,960,2,49,1,0,0,,14,0,,14,0.6916305665175277
17,17,38.62641583165593,38.62641583165593,38.62641583165593,38.62641583165593,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,1292,1292,960,2,17,3,0,0,,17,3,,17,1.1106504679571843
17,17,44.40720662234904,44.40720662234904,44.40720662234904,44.40720662234904,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,3,1292,1292,1292,1292,948,2,20,3,0,0,,17,2,,17,1.1082797508876339
17,17,65.39113089708727,65.39113089708727,65.39113089708727,73.54590403278758,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,483,1292,1211,2,26,2,0,0,,17,3,,17,0.6589841816041617
20,20,24.515301344262525,34.655446902326915,39.0,12.36931687685298,0,0,0,0,0,0,1,1,0.0,1.0,0.0,1.0,0,0,0,0,735,575,856,715,996,1,87,1,0,0,,20,1,,20,0.7462610446076258
20,20,37.64306044943742,54.120236510939236,36.124783736376884,12.36931687685298,0,0,0,0,0,0,1,1,1.0,1.0,0.0,12.0,0,0,0,3,723,608,868,675,1008,1,87,1,0,0,,20,1,,20,0.7581474794736407
20,20,58.180752831155424,70.83078426785913,29.546573405388315,12.36931687685298,0,0,0,0,0,0,1,1,0.0,1.0,0.0,1.0,0,0,0,0,711,665,880,597,1020,1,87,1,0,0,,20,1,,20,0.7686202092837876
21,21,38.62641583165593,38.62641583165593,38.62641583165593,38.62641583165593,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,1292,1292,960,3,4,3,0,0,,21,3,,21,1.1100122010376188
22,22,44.40720662234904,44.40720662234904,44.40720662234904,44.40720662234904,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,3,1292,1292,1292,1292,948,3,7,3,0,0,,22,2,,22,1.107963766908166
23,23,65.39113089708727,65.39113089708727,65.39113089708727,73.7563556583431,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,484,1292,1211,3,13,2,0,0,,23,3,,23,0.6816183693177534
26,26,65.39113089708727,65.39113089708727,65.39113089708727,73.54590403278758,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,483,1292,1211,1,40,2,0,0,,26,1,,26,0.6774793515767427
24,24,36.05551275463989,36.05551275463989,36.05551275463989,36.05551275463989,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,3,1,3,0,0,,24,2,,24,0.7675793930840323
25,25,61.61168720299745,61.61168720299745,61.61168720299745,73.7563556583431,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,496,1292,1223,3,10,2,0,0,,25,1,,25,1.1897868067507396
26,26,63.90618123468183,72.0,63.90618123468183,63.245553203367585,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,657,516,1259,3,19,1,0,0,,26,1,,26,0.7722883584827058
27,27,74.72616676907762,61.18823416311342,68.96375859826666,62.48199740725323,0,0,0,0,1,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,508,1292,712,599,1271,3,22,1,0,0,,27,1,,27,0.7714927911107561
28,28,36.05551275463989,36.05551275463989,36.05551275463989,36.05551275463989,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12.0,0,0,0,1,1292,1292,1292,1292,972,3,1,3,0,0,,28,2,,28,0.7675793930840323
29,29,61.61168720299745,61.61168720299745,61.61168720299745,73.7563556583431,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,496,1292,1223,3,10,2,0,0,,29,1,,29,1.1897868067507396
30,30,63.90618123468183,72.0,63.90618123468183,63.245553203367585,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0,0,0,0,1292,1292,657,516,1259,3,19,1,0,0,,30,1,,30,0.7722883584827058
31,31,74.72616676907762,61.18823416311342,68.96375859826666,62.48199740725323,0,0,0,0,1,1,0,1,0.0,1.0,0.0,1.0,0,0,0,0,508,1292,712,599,1271,3,22,1,0,0,,31,1,,31,0.7714927911107561
35,35,72.24956747275377,104.4030650891055,59.405386961116584,59.405386961116584,7,7,7,7,0,0,1,1,0.0,1.0,0.0,1.0,0,0,0,0,697,764,764,243,1259,3,55,2,0,0,,35,3,,35,0.7429113626296058
